year,week,date,new,total,source
2020,8,2020-02-23,0,0,fhi:git
2020,9,2020-03-01,0,0,fhi:git
2020,10,2020-03-08,0,0,fhi:git
2020,11,2020-03-15,4,4,fhi:git
2020,12,2020-03-22,9,13,fhi:git
2020,13,2020-03-29,23,36,fhi:git
2020,14,2020-04-05,44,80,fhi:git
2020,15,2020-04-12,60,140,fhi:git
2020,16,2020-04-19,46,186,fhi:git
2020,17,2020-04-26,23,209,fhi:git
2020,18,2020-05-03,11,220,fhi:git
2020,19,2020-05-10,11,231,fhi:git
2020,20,2020-05-17,5,236,fhi:git
2020,21,2020-05-24,2,238,fhi:git
2020,22,2020-05-31,6,244,fhi:git
2020,23,2020-06-07,1,245,fhi:git
2020,24,2020-06-14,2,247,fhi:git
2020,25,2020-06-21,5,252,fhi:git
2020,26,2020-06-28,3,255,fhi:git
2020,27,2020-07-05,1,256,fhi:git
2020,28,2020-07-12,1,257,fhi:git
2020,29,2020-07-19,1,258,fhi:git
2020,30,2020-07-26,0,258,fhi:git
2020,31,2020-08-02,2,260,fhi:git
2020,32,2020-08-09,0,260,fhi:git
2020,33,2020-08-16,3,263,fhi:git
2020,34,2020-08-23,1,264,fhi:git
2020,35,2020-08-30,0,264,fhi:git
2020,36,2020-09-06,1,265,fhi:git
2020,37,2020-09-13,2,267,fhi:git
2020,38,2020-09-20,3,270,fhi:git
2020,39,2020-09-27,5,275,fhi:git
2020,40,2020-10-04,2,277,fhi:git
2020,41,2020-10-11,2,279,fhi:git
2020,42,2020-10-18,1,280,fhi:git
2020,43,2020-10-25,3,283,fhi:git
2020,44,2020-11-01,2,285,fhi:git
2020,45,2020-11-08,10,295,fhi:git
2020,46,2020-11-15,10,305,fhi:git
2020,47,2020-11-22,21,326,fhi:git
2020,48,2020-11-29,31,357,fhi:git
2020,49,2020-12-06,23,380,fhi:git
2020,50,2020-12-13,25,405,fhi:git
2020,51,2020-12-20,17,422,fhi:git
2020,52,2020-12-27,25,447,fhi:git
2020,53,2021-01-03,30,477,fhi:git
2021,1,2021-01-10,37,514,fhi:git
2021,2,2021-01-17,34,548,fhi:git
2021,3,2021-01-24,20,568,fhi:git
2021,4,2021-01-31,24,592,fhi:git
2021,5,2021-02-07,17,609,fhi:git
2021,6,2021-02-14,18,627,fhi:git
2021,7,2021-02-21,11,638,fhi:git
2021,8,2021-02-28,8,646,fhi:git
2021,9,2021-03-07,6,652,fhi:git
2021,10,2021-03-14,10,662,fhi:git
2021,11,2021-03-21,13,675,fhi:git
2021,12,2021-03-28,18,693,fhi:git
2021,13,2021-04-04,17,710,fhi:git
2021,14,2021-04-11,24,734,fhi:git
2021,15,2021-04-18,24,758,fhi:git
2021,16,2021-04-25,13,771,fhi:git
2021,17,2021-05-02,16,787,fhi:git
2021,18,2021-05-09,5,792,fhi:git
2021,19,2021-05-16,7,799,fhi:git
2021,20,2021-05-23,3,802,fhi:git
2021,21,2021-05-30,2,804,fhi:git
2021,22,2021-06-06,4,808,fhi:git
2021,23,2021-06-13,1,809,fhi:git
2021,24,2021-06-20,1,810,fhi:git
2021,25,2021-06-27,3,813,fhi:git
2021,26,2021-07-04,2,815,fhi:git
2021,27,2021-07-11,0,815,fhi:git
2021,28,2021-07-18,2,817,fhi:git
2021,29,2021-07-25,1,818,fhi:git
2021,30,2021-08-01,4,822,fhi:git
2021,31,2021-08-08,4,826,fhi:git
2021,32,2021-08-15,5,831,fhi:git
2021,33,2021-08-22,4,835,fhi:git
2021,34,2021-08-29,10,845,fhi:git
2021,35,2021-09-05,6,851,fhi:git
2021,36,2021-09-12,18,869,fhi:git
2021,37,2021-09-19,16,885,fhi:git
2021,38,2021-09-26,13,898,fhi:git
2021,39,2021-10-03,9,907,fhi:git
2021,40,2021-10-10,10,917,fhi:git
2021,41,2021-10-17,10,927,fhi:git
2021,42,2021-10-24,14,941,fhi:git
2021,43,2021-10-31,20,961,fhi:git
2021,44,2021-11-07,38,999,fhi:git
2021,45,2021-11-14,50,1049,fhi:git
2021,46,2021-11-21,55,1104,fhi:git
2021,47,2021-11-28,54,1158,fhi:git
2021,48,2021-12-05,56,1214,fhi:git
2021,49,2021-12-12,54,1268,fhi:git
2021,50,2021-12-19,67,1335,fhi:git
2021,51,2021-12-26,55,1390,fhi:git
2021,52,2022-01-02,48,1438,fhi:git
2022,1,2022-01-09,30,1468,fhi:git
2022,2,2022-01-16,28,1496,fhi:git
2022,3,2022-01-23,29,1525,fhi:git
2022,4,2022-01-30,32,1557,fhi:git
2022,5,2022-02-06,54,1611,fhi:git
2022,6,2022-02-13,60,1671,fhi:git
2022,7,2022-02-20,85,1756,fhi:git
2022,8,2022-02-27,114,1870,fhi:git
2022,9,2022-03-06,156,2026,fhi:git
2022,10,2022-03-13,185,2211,fhi:git
2022,11,2022-03-20,200,2411,fhi:git
2022,12,2022-03-27,170,2581,fhi:git
2022,13,2022-04-03,123,2704,fhi:git
2022,14,2022-04-10,122,2826,fhi:git
2022,15,2022-04-17,75,2901,fhi:git
2022,16,2022-04-24,53,2954,fhi:git
2022,17,2022-05-01,70,3024,fhi:git
2022,18,2022-05-08,37,3061,fhi:git
2022,19,2022-05-15,0,3061,fhi:git
2022,20,2022-05-22,0,3061,fhi:git
