date,admissions,icu,respiratory,source
2020-03-08,0,0,0,helsedir:api
2020-03-09,2,0,0,helsedir:api
2020-03-10,8,0,0,helsedir:api
2020-03-11,13,0,0,helsedir:api
2020-03-12,23,0,1,helsedir:api
2020-03-13,27,0,4,helsedir:api
2020-03-14,35,0,4,helsedir:api
2020-03-15,41,0,6,helsedir:api
2020-03-16,50,0,10,helsedir:api
2020-03-17,68,0,13,helsedir:api
2020-03-18,82,0,16,helsedir:api
2020-03-19,102,0,19,helsedir:api
2020-03-20,130,0,26,helsedir:api
2020-03-21,148,0,28,helsedir:api
2020-03-22,169,0,32,helsedir:api
2020-03-23,193,0,41,helsedir:api
2020-03-24,212,0,44,helsedir:api
2020-03-25,237,0,57,helsedir:api
2020-03-26,266,0,70,helsedir:api
2020-03-27,303,0,77,helsedir:api
2020-03-28,291,0,84,helsedir:api
2020-03-29,317,0,91,helsedir:api
2020-03-30,321,0,97,helsedir:api
2020-03-31,317,0,97,helsedir:api
2020-04-01,325,0,99,helsedir:api
2020-04-02,318,0,96,helsedir:api
2020-04-03,318,0,96,helsedir:api
2020-04-04,306,0,98,helsedir:api
2020-04-05,310,0,89,helsedir:api
2020-04-06,314,0,83,helsedir:api
2020-04-07,277,101,78,helsedir:api
2020-04-08,250,95,70,helsedir:api
2020-04-09,252,92,70,helsedir:api
2020-04-10,234,89,67,helsedir:api
2020-04-11,214,83,64,helsedir:api
2020-04-12,214,79,59,helsedir:api
2020-04-13,204,73,58,helsedir:api
2020-04-14,201,71,53,helsedir:api
2020-04-15,190,64,52,helsedir:api
2020-04-16,175,64,52,helsedir:api
2020-04-17,165,65,51,helsedir:api
2020-04-18,148,61,47,helsedir:api
2020-04-19,153,60,48,helsedir:api
2020-04-20,160,58,43,helsedir:api
2020-04-21,144,58,40,helsedir:api
2020-04-22,129,54,33,helsedir:api
2020-04-23,123,50,33,helsedir:api
2020-04-24,120,54,32,helsedir:api
2020-04-25,114,51,33,helsedir:api
2020-04-26,122,49,31,helsedir:api
2020-04-27,125,52,32,helsedir:api
2020-04-28,119,44,32,helsedir:api
2020-04-29,114,40,31,helsedir:api
2020-04-30,98,36,29,helsedir:api
2020-05-01,82,36,30,helsedir:api
2020-05-02,81,37,29,helsedir:api
2020-05-03,80,33,28,helsedir:api
2020-05-04,82,33,27,helsedir:api
2020-05-05,71,33,27,helsedir:api
2020-05-06,62,30,20,helsedir:api
2020-05-07,63,28,18,helsedir:api
2020-05-08,61,26,16,helsedir:api
2020-05-09,59,24,16,helsedir:api
2020-05-10,60,22,16,helsedir:api
2020-05-11,59,22,17,helsedir:api
2020-05-12,59,22,16,helsedir:api
2020-05-13,61,21,15,helsedir:api
2020-05-14,61,20,13,helsedir:api
2020-05-15,58,18,12,helsedir:api
2020-05-16,52,19,11,helsedir:api
2020-05-17,52,18,11,helsedir:api
2020-05-18,52,16,11,helsedir:api
2020-05-19,51,14,11,helsedir:api
2020-05-20,51,15,11,helsedir:api
2020-05-21,41,12,9,helsedir:api
2020-05-22,45,11,8,helsedir:api
2020-05-23,35,10,7,helsedir:api
2020-05-24,38,10,7,helsedir:api
2020-05-25,40,12,8,helsedir:api
2020-05-26,37,11,7,helsedir:api
2020-05-27,36,11,7,helsedir:api
2020-05-28,36,11,8,helsedir:api
2020-05-29,30,8,5,helsedir:api
2020-05-30,28,8,3,helsedir:api
2020-05-31,28,8,3,helsedir:api
2020-06-01,29,8,3,helsedir:api
2020-06-02,32,9,3,helsedir:api
2020-06-03,27,6,3,helsedir:api
2020-06-04,29,6,3,helsedir:api
2020-06-05,22,5,3,helsedir:api
2020-06-08,21,5,2,helsedir:api
2020-06-09,21,3,2,helsedir:api
2020-06-10,18,2,2,helsedir:api
2020-06-11,16,4,2,helsedir:api
2020-06-12,16,5,3,helsedir:api
2020-06-15,18,7,4,helsedir:api
2020-06-16,18,7,4,helsedir:api
2020-06-17,18,6,4,helsedir:api
2020-06-18,19,5,4,helsedir:api
2020-06-19,17,6,4,helsedir:api
2020-06-22,13,7,4,helsedir:api
2020-06-23,12,6,3,helsedir:api
2020-06-24,16,6,3,helsedir:api
2020-06-25,18,6,3,helsedir:api
2020-06-26,20,4,4,helsedir:api
2020-06-29,18,2,2,helsedir:api
2020-06-30,18,2,1,helsedir:api
2020-07-01,17,3,1,helsedir:api
2020-07-02,19,3,1,helsedir:api
2020-07-03,15,3,2,helsedir:api
2020-07-06,11,2,2,helsedir:api
2020-07-07,9,2,2,helsedir:api
2020-07-08,8,3,2,helsedir:api
2020-07-09,8,2,1,helsedir:api
2020-07-10,4,2,1,helsedir:api
2020-07-13,7,1,0,helsedir:api
2020-07-14,7,1,0,helsedir:api
2020-07-15,5,1,0,helsedir:api
2020-07-16,6,1,0,helsedir:api
2020-07-17,8,1,0,helsedir:api
2020-07-20,10,1,1,helsedir:api
2020-07-21,7,1,1,helsedir:api
2020-07-22,3,1,1,helsedir:api
2020-07-23,3,1,1,helsedir:api
2020-07-24,3,1,1,helsedir:api
2020-07-27,7,2,1,helsedir:api
2020-07-28,5,2,1,helsedir:api
2020-07-29,6,2,1,helsedir:api
2020-07-30,6,2,1,helsedir:api
2020-07-31,3,1,1,helsedir:api
2020-08-03,14,2,1,helsedir:api
2020-08-04,12,2,1,helsedir:api
2020-08-05,11,2,1,helsedir:api
2020-08-06,14,3,2,helsedir:api
2020-08-07,15,2,2,helsedir:api
2020-08-10,16,3,2,helsedir:api
2020-08-11,15,2,2,helsedir:api
2020-08-12,15,2,2,helsedir:api
2020-08-13,12,1,1,helsedir:api
2020-08-14,8,2,1,helsedir:api
2020-08-17,14,1,1,helsedir:api
2020-08-18,12,1,1,helsedir:api
2020-08-19,11,0,0,helsedir:api
2020-08-20,10,0,0,helsedir:api
2020-08-21,13,0,0,helsedir:api
2020-08-24,17,2,1,helsedir:api
2020-08-25,18,2,1,helsedir:api
2020-08-26,17,2,1,helsedir:api
2020-08-27,17,2,0,helsedir:api
2020-08-28,16,2,0,helsedir:api
2020-08-31,12,1,1,helsedir:api
2020-09-01,11,1,1,helsedir:api
2020-09-02,11,1,1,helsedir:api
2020-09-03,13,1,1,helsedir:api
2020-09-04,16,2,1,helsedir:api
2020-09-07,15,2,0,helsedir:api
2020-09-08,11,1,0,helsedir:api
2020-09-09,14,1,0,helsedir:api
2020-09-10,11,1,0,helsedir:api
2020-09-11,16,1,0,helsedir:api
2020-09-14,21,2,0,helsedir:api
2020-09-15,18,1,0,helsedir:api
2020-09-16,16,3,0,helsedir:api
2020-09-17,20,3,0,helsedir:api
2020-09-18,16,2,0,helsedir:api
2020-09-21,23,1,0,helsedir:api
2020-09-22,21,2,0,helsedir:api
2020-09-23,19,3,0,helsedir:api
2020-09-24,24,2,0,helsedir:api
2020-09-25,19,2,0,helsedir:api
2020-09-28,21,3,0,helsedir:api
2020-09-29,24,3,1,helsedir:api
2020-09-30,28,3,1,helsedir:api
2020-10-01,25,3,1,helsedir:api
2020-10-02,27,2,1,helsedir:api
2020-10-05,25,4,1,helsedir:api
2020-10-06,22,4,1,helsedir:api
2020-10-07,25,4,2,helsedir:api
2020-10-08,27,5,1,helsedir:api
2020-10-09,23,3,1,helsedir:api
2020-10-12,31,5,1,helsedir:api
2020-10-13,27,3,1,helsedir:api
2020-10-14,23,5,1,helsedir:api
2020-10-15,24,6,2,helsedir:api
2020-10-16,28,5,3,helsedir:api
2020-10-19,28,7,3,helsedir:api
2020-10-20,29,7,3,helsedir:api
2020-10-21,36,6,2,helsedir:api
2020-10-22,44,6,4,helsedir:api
2020-10-23,44,6,3,helsedir:api
2020-10-26,54,7,3,helsedir:api
2020-10-27,51,7,3,helsedir:api
2020-10-28,49,8,1,helsedir:api
2020-10-29,47,8,2,helsedir:api
2020-10-30,60,9,3,helsedir:api
2020-10-31,60,11,4,helsedir:api
2020-11-01,63,10,4,helsedir:api
2020-11-02,64,8,3,helsedir:api
2020-11-03,61,8,3,helsedir:api
2020-11-04,70,12,3,helsedir:api
2020-11-05,72,14,5,helsedir:api
2020-11-06,88,16,8,helsedir:api
2020-11-07,92,19,11,helsedir:api
2020-11-08,96,19,11,helsedir:api
2020-11-09,97,20,15,helsedir:api
2020-11-10,104,21,12,helsedir:api
2020-11-11,95,23,12,helsedir:api
2020-11-12,110,21,12,helsedir:api
2020-11-13,109,23,13,helsedir:api
2020-11-14,117,22,13,helsedir:api
2020-11-15,127,29,13,helsedir:api
2020-11-16,135,32,16,helsedir:api
2020-11-17,139,37,15,helsedir:api
2020-11-18,143,35,15,helsedir:api
2020-11-19,138,30,15,helsedir:api
2020-11-20,127,36,16,helsedir:api
2020-11-21,124,34,18,helsedir:api
2020-11-22,129,36,21,helsedir:api
2020-11-23,138,39,22,helsedir:api
2020-11-24,128,35,23,helsedir:api
2020-11-25,116,35,22,helsedir:api
2020-11-26,123,33,22,helsedir:api
2020-11-27,121,31,20,helsedir:api
2020-11-28,118,31,20,helsedir:api
2020-11-29,123,32,19,helsedir:api
2020-11-30,129,35,19,helsedir:api
2020-12-01,128,34,17,helsedir:api
2020-12-02,128,37,17,helsedir:api
2020-12-03,111,34,17,helsedir:api
2020-12-04,128,38,19,helsedir:api
2020-12-05,131,37,19,helsedir:api
2020-12-06,132,37,19,helsedir:api
2020-12-07,151,37,20,helsedir:api
2020-12-08,139,34,22,helsedir:api
2020-12-09,132,34,22,helsedir:api
2020-12-10,136,33,22,helsedir:api
2020-12-11,132,31,24,helsedir:api
