date,new,total,source
2020-03-12,0,10448,
2020-03-13,1530,11978,
2020-03-14,1770,13748,
2020-03-16,4314,18062,
2020-03-17,3585,21647,
2020-03-18,6875,28522,
2020-03-19,6061,34583,
2020-03-20,9152,43735,
2020-03-21,5716,49451,
2020-03-22,4942,54393,
2020-03-23,6858,61251,
2020-03-24,9357,70608,
2020-03-25,2481,73089,
2020-03-26,803,73892,
2020-03-27,4144,78036,
2020-03-28,4548,82584,
2020-03-29,2552,85136,
2020-03-30,2055,87191,
2020-03-31,3051,90242,
2020-04-01,4023,94265,
2020-04-02,4322,98587,
2020-04-04,7278,105865,
2020-04-05,2844,108709,
2020-04-07,5187,113896,
2020-04-09,7138,121034,
2020-04-11,3245,124279,
2020-04-12,2207,126486,
2020-04-13,819,127305,
2020-04-14,1264,128569,
2020-04-15,1647,130216,
2020-04-16,3491,133707,
2020-04-17,2529,136236,
2020-04-18,3432,139668,
2020-04-19,2498,142166,
2020-04-20,1089,143255,
2020-04-21,2024,145279,
2020-04-22,3377,148656,
2020-04-23,3439,152095,
2020-04-24,3030,155125,
2020-04-27,9191,164316,
2020-04-28,1635,165951,
2020-04-29,3173,169124,
2020-04-30,3462,172586,
2020-05-04,9699,182285,
2020-05-05,2372,184657,
2020-05-06,3579,188236,
2020-05-07,3710,191946,
2020-05-08,3975,195921,
2020-05-11,6830,202751,
2020-05-12,2488,205239,
2020-05-13,3635,208874,
2020-05-14,3781,212655,
2020-05-15,3695,216350,
2020-05-18,1689,218039,
2020-05-19,1945,219984,
2020-05-20,3061,223045,
2020-05-22,6724,229769,
2020-05-25,4868,234637,
2020-05-26,2029,236666,
2020-05-27,3198,239864,
2020-05-28,2734,242598,
2020-05-29,2754,245352,
2020-06-02,5616,250968,
2020-06-03,1264,252232,
2020-06-04,2481,254713,
2020-06-05,2590,257303,
2020-06-08,4933,262236,
2020-06-09,2154,264390,
2020-06-10,3487,267877,
2020-06-11,5028,272905,
2020-06-12,4348,277253,
2020-06-15,8614,285867,
2020-06-16,2674,288541,
2020-06-18,9879,298420,
2020-06-19,4233,302653,
2020-06-22,7982,310635,
2020-06-23,2527,313162,
2020-06-24,3928,317090,
2020-06-25,4381,321471,
2020-06-26,4094,325565,
2020-06-29,6370,331935,
2020-06-30,2618,334553,
2020-07-01,4307,338860,
2020-07-02,4674,343534,
2020-07-03,4674,348208,
2020-07-06,7448,355656,
2020-07-07,2519,358175,
2020-07-08,5406,363581,
2020-07-09,4383,367964,
2020-07-10,4425,372389,
2020-07-13,7693,380082,
2020-07-14,3067,383149,
2020-07-15,4872,388021,
2020-07-16,4655,392676,
2020-07-17,4430,397106,
2020-07-20,7392,404498,
2020-07-21,2813,407311,
2020-07-22,4595,411906,
2020-07-23,4225,416131,
2020-07-24,4397,420528,
2020-07-27,7123,427651,
2020-07-28,2895,430546,
2020-07-29,5085,435631,
2020-07-30,5260,440891,
2020-07-31,5055,445946,
2020-08-03,9113,455059,
2020-08-04,3746,458805,
2020-08-05,6512,465317,
2020-08-06,7524,472841,
2020-08-07,6948,479789,
2020-08-10,14917,494706,
2020-08-11,5180,499886,
2020-08-12,8884,508770,
2020-08-13,10123,518893,
2020-08-14,11553,530446,
2020-08-17,26207,556653,
2020-08-18,7896,564549,
2020-08-19,9980,574529,
2020-08-20,14021,588550,
2020-08-21,13019,601569,
2020-08-24,29334,630903,fhi:web
2020-08-25,9672,640575,fhi:web
2020-08-26,13181,653756,fhi:web
2020-08-27,15961,669717,fhi:web
2020-08-28,16485,686202,fhi:web
2020-08-31,33677,719879,fhi:web
2020-09-01,11023,730902,fhi:web
2020-09-02,14377,745279,fhi:web
2020-09-03,16640,761919,fhi:web
2020-09-04,15540,777459,fhi:web
2020-09-07,29997,807456,fhi:web
2020-09-08,9410,816866,fhi:web
2020-09-09,14198,831064,fhi:web
2020-09-10,14458,845522,fhi:web
2020-09-11,14633,860155,fhi:web
2020-09-14,28967,889122,fhi:web
2020-09-15,8970,898092,fhi:web
2020-09-16,15191,913283,fhi:web
2020-09-17,14741,928024,fhi:web
