tr_type,route,company,tr_from,tr_to,departure,arrival,source
Tog,41,Vy,Oslo S,Bergen S,NaT,2021-04-04 14:55:00,fhi:web
Fly,KL1199,KLM,Amsterdam,Stavanger,2022-07-27 09:40:00,2021-07-27 11:10:00,fhi:web
Fly,SK4043,SAS,Oslo,Stavanger,2021-08-17 17:15:00,2021-08-17 18:05:00,fhi:web
Buss,182,Trønderbilene AS,Røros,Tynset,2021-08-17 15:10:00,2021-08-17 16:05:00,fhi:web
Fly,SK1458,SAS,København,Oslo,2021-08-17 11:50:00,2021-08-17 12:55:00,fhi:web
Fly,DY1801,Norwegian,Malaga,Oslo,2021-08-17 11:20:00,2021-08-17 15:20:00,fhi:web
Fly,WF767,Widerøe,Oslo,Mo i Rana,2021-08-17 08:10:00,2021-08-17 09:15:00,fhi:web
Buss,613,Flixbuss,Gøteborg,Oslo,2021-08-17 07:30:00,2021-08-17 11:15:00,fhi:web
Fly,SK4432,SAS,Oslo,Tromsø,2021-08-16 20:05:00,2021-08-16 21:55:00,fhi:web
Tog,2388,SJ Nord,Røros,Hamar,2021-08-16 16:20:00,2021-08-16 19:46:00,fhi:web
Fly,SK216,SAS,Kristiansand,Oslo,2021-08-16 15:35:00,2021-08-16 16:20:00,fhi:web
Buss,182,Trønderbilene AS,Tynset,Røros,2021-08-16 15:10:00,2021-08-16 16:05:00,fhi:web
Fly,DY1041,Norwegian,Krakow,Oslo,2021-08-16 12:25:00,2021-08-16 14:30:00,fhi:web
Fly,SK6352,SAS,Malaga,Oslo,2021-08-16 11:15:00,2021-08-16 15:15:00,fhi:web
Fly,SK4411,SAS,Tromsø,Oslo,2021-08-16 10:20:00,2021-08-16 12:10:00,fhi:web
Tog,2383,SJ Nord,Hamar,Røros,2021-08-16 10:11:00,2021-08-16 13:37:00,fhi:web
Buss,182,Trønderbilene AS,Tynset,Røros,2021-08-16 07:55:00,2021-08-16 15:05:00,fhi:web
Fly,QR175,Qatar Airways,Doha,Oslo,2021-08-16 07:55:00,2021-08-16 13:40:00,fhi:web
